"Table 1a: ITL1 & UK chained volume measures index, 2022 equals 100 [note 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL code,Region name,SIC07 code,SIC07 description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UK,United Kingdom,Total,All industries,65.4,67.5,70.5,72.3,73.5,75.8,77.5,79.8,81.9,84.0,84.0,80.1,82.0,83.0,84.4,85.9,88.7,90.4,92.3,94.8,96.1,97.8,88.2,95.8,100.0,100.3
UK,United Kingdom,A-E,Production sector,88.7,93.3,95.9,99.6,102.1,104.5,104.0,103.5,107.5,105.4,104.1,96.9,93.6,90.3,90.1,91.8,95.3,98.9,98.5,99.1,101.6,104.1,106.7,106.1,100.0,98.8
UK,United Kingdom,A (1-3),"Agriculture, forestry and fishing",63.9,73.1,79.3,79.9,98.0,94.1,83.8,91.7,90.4,79.5,100.5,93.3,78.0,99.1,83.1,81.9,115.5,99.8,89.3,93.7,84.1,98.1,94.9,95.5,100.0,100.2
UK,United Kingdom,1,Agriculture and hunting,64.6,73.7,81.1,80.2,99.6,95.3,83.7,91.8,90.6,79.5,100.9,91.0,76.6,101.2,81.6,79.9,114.7,98.5,87.5,92.6,83.9,97.4,91.8,95.9,100.0,99.3
UK,United Kingdom,2,Forestry and logging,101.2,137.7,136.6,155.4,177.5,224.7,236.3,198.5,192.1,170.1,221.6,275.0,182.8,150.1,182.0,175.2,144.8,154.8,147.5,131.8,101.0,121.8,136.7,93.2,100.0,106.2
UK,United Kingdom,3,Fishing and aquaculture,57.5,58.4,48.5,65.5,65.8,57.5,63.1,77.1,74.6,68.1,77.8,90.6,81.1,70.9,72.6,78.3,119.4,94.8,89.9,92.4,83.3,101.4,115.3,91.4,100.0,108.5
UK,United Kingdom,B (5-9),Mining and quarrying,457.1,453.5,412.0,385.7,370.2,347.5,326.9,292.5,255.3,233.2,210.4,193.1,169.8,125.9,109.1,95.2,96.4,110.6,122.2,113.6,121.5,124.0,125.1,103.5,100.0,87.2
UK,United Kingdom,5-8,"Mining and quarrying, excluding support activities",525.2,527.1,475.5,443.7,425.2,399.1,368.9,327.1,275.6,249.0,216.7,199.7,172.1,127.1,107.3,92.5,93.1,99.0,119.8,113.1,123.2,124.0,123.6,102.0,100.0,87.0
UK,United Kingdom,9,Mining support service activities,93.3,82.6,81.0,80.3,79.2,74.6,90.4,92.2,128.0,133.6,170.9,150.5,153.5,117.5,137.0,133.5,141.4,262.9,163.0,130.8,105.6,132.4,152.7,129.5,100.0,91.5
UK,United Kingdom,C (10-33),Manufacturing,70.8,74.3,77.9,80.9,83.8,86.2,88.4,89.9,96.5,96.5,96.0,87.1,87.0,86.7,89.4,92.8,96.3,96.9,95.6,97.2,101.3,101.8,104.0,108.0,100.0,100.7
UK,United Kingdom,CA (10-12),"Manufacture of food, beverages and tobacco",89.8,90.0,91.1,88.3,91.8,97.3,102.9,95.9,103.0,101.9,96.1,98.3,88.6,84.0,83.9,86.1,88.5,84.7,92.0,89.4,101.0,101.0,100.0,105.2,100.0,97.2
UK,United Kingdom,10,Manufacture of food products,92.1,91.0,92.1,90.7,93.0,99.0,104.1,94.7,101.1,100.5,92.2,93.7,84.1,79.8,80.6,84.4,87.7,83.1,94.1,88.3,102.3,103.7,102.3,105.0,100.0,97.7
UK,United Kingdom,11-12,Manufacture of beverages and tobacco products,84.8,89.1,90.6,82.7,90.6,94.5,101.8,102.6,112.7,109.7,113.0,117.8,107.6,101.5,97.7,94.4,93.7,92.0,86.2,93.8,97.6,93.7,93.7,105.8,100.0,95.9
