time,Age (Aggregate bands): 15-24,Age (Aggregate bands): 25-54,Age (Aggregate bands): 55-64,Age (Aggregate bands): 65+,Age (Aggregate bands): 15-24_share_percent,Age (Aggregate bands): 25-54_share_percent,Age (Aggregate bands): 55-64_share_percent,Age (Aggregate bands): 65+_share_percent,total,calculated_total,difference_total_vs_calculated
1995Q2,691.933,3631.341,536.409,59.14,14.067044087579486,73.8254049800125,10.905230783868417,1.2023201485395996,4918.823,4918.822999999999,9.094947017729282e-13
1996Q2,683.015,3761.142,555.961,52.216,13.518801409408008,74.44365317098989,11.004042883942352,1.0335025356597565,5052.334,5052.334000000001,-9.094947017729282e-13
1997Q2,653.728,3760.157,542.798,45.164,13.06973204098406,75.17537021824138,10.851951289193773,0.9029464515807861,5001.847,5001.847,0.0
1998Q2,631.753,3776.564,551.718,45.305,12.621582674020681,75.45071372788136,11.022590078314375,0.9051334984503547,5005.339,5005.34,-0.0010000000002037268
1999Q2,590.695,3530.3,598.887,45.169,12.396404571535541,74.08734974714855,12.568322983321686,0.9479226979942081,4765.051,4765.0509999999995,9.094947017729282e-13
1999Q3,590.38,3578.237,598.434,45.475,12.267570086894077,74.35257492634845,12.434925026898554,0.9449299598589183,4812.526,4812.526000000001,-9.094947017729282e-13
1999Q4,569.256,3547.024,584.228,41.427,12.004719592318324,74.80119402733271,12.32045567895806,0.8736307013908878,4741.935,4741.9349999999995,9.094947017729282e-13
2000Q1,531.393,3533.445,571.792,45.28,11.349919156925273,75.47016068228565,12.212793496671232,0.9671266641178493,4681.91,4681.91,0.0
2000Q2,514.094,3504.117,557.5,43.575,11.129295739644613,75.85841188443409,12.068964770745955,0.9433276051753453,4619.286,4619.286,0.0
2000Q3,513.175,3453.467,571.741,47.449,11.190444830948886,75.3073160988017,12.467552234796214,1.0346868354531957,4585.832,4585.831999999999,9.094947017729282e-13
2000Q4,513.069,3428.295,560.304,53.188,11.264219988513357,75.26681414297181,12.30124508875802,1.1677207797568134,4554.856,4554.856,0.0
2001Q1,505.197,3385.689,549.712,51.035,11.247512875606711,75.37768557671563,12.23857781791166,1.1362237297659894,4491.633,4491.633,0.0
2001Q2,499.065,3376.099,549.041,53.89,11.144582685271304,75.39141085662541,12.260592953030251,1.2034135050730277,4478.095,4478.095,0.0
2001Q3,521.814,3328.893,547.519,55.717,11.715776335709728,74.74035927267143,12.292905409880637,1.2509589817382034,4453.943,4453.942999999999,9.094947017729282e-13
2001Q4,520.651,3324.057,545.908,59.291,11.700266994343925,74.69947124737662,12.267851889938374,1.3324098683410686,4449.907,4449.907,0.0
2002Q1,490.929,3293.393,555.605,52.635,11.176370418903591,74.97658541871463,12.64876853189551,1.198275630486263,4392.562,4392.562,0.0
2002Q2,478.559,3215.264,557.587,47.382,11.132406499314225,74.79459345788305,12.970783420086384,1.102216622716335,4298.792,4298.7919999999995,9.094947017729282e-13
2002Q3,480.402,3215.667,577.144,55.845,11.097148617551438,74.2809867643261,13.331861111585939,1.2900035065365258,4329.058,4329.058,0.0
2002Q4,495.156,3198.106,606.71,56.125,11.366964509743472,73.41677653183574,13.927834940314693,1.2884240181061166,4356.097,4356.097,0.0
2003Q1,450.277,3103.974,590.11,51.728,10.730873439529047,73.97302583429475,14.06333373767811,1.2327669884980992,4196.089,4196.089,0.0
2003Q2,422.285,3056.751,611.972,49.68,10.198425962062343,73.82229716414277,14.77947626094987,1.199800612845015,4140.688,4140.688,0.0
2003Q3,432.186,2974.092,607.721,47.208,10.641811658455232,73.23172643009825,14.964048865275767,1.1624130461707567,4061.207,4061.2070000000003,-4.547473508864641e-13
2003Q4,428.243,2924.705,582.025,44.817,10.760442133881435,73.48892780774865,14.624515363875984,1.1261146944939304,3979.79,3979.79,0.0
2004Q1,392.868,2892.88,565.955,46.851,10.07727480496615,74.20392278778235,14.517049141810014,1.2017532654414944,3898.554,3898.554,0.0
2004Q2,383.004,2844.776,545.291,56.044,10.002415701800548,74.29330276055956,14.240653519155211,1.463628018484689,3829.115,3829.115,0.0
2004Q3,414.176,2866.866,561.627,56.72,10.621561480529385,73.52090289017073,14.40294876966622,1.4545868596336502,3899.389,3899.3889999999997,4.547473508864641e-13
