time,Education (Aggregate levels): Basic and below basic,Education (Aggregate levels): Intermediate,Education (Aggregate levels): Advanced,Education (Aggregate levels): Level not stated,Education (Aggregate levels): Basic and below basic_share_percent,Education (Aggregate levels): Intermediate_share_percent,Education (Aggregate levels): Advanced_share_percent,Education (Aggregate levels): Level not stated_share_percent,total,calculated_total,difference_total_vs_calculated
1995Q2,2209.012,1841.846,857.565,10.399,44.90936144683393,37.44485215263895,17.43435370616101,0.21141236429934557,4918.823,4918.822000000001,0.0009999999992942321
1996Q2,2288.071,1847.017,899.418,17.828,45.28740578116965,36.55769788774851,17.802029715375113,0.3528666157067209,5052.334,5052.334000000001,-9.094947017729282e-13
1997Q2,2183.334,1904.0,911.293,3.22,43.65055548480391,38.0659384423394,18.219129853432143,0.06437621942454458,5001.847,5001.847000000001,-9.094947017729282e-13
1999Q2,1528.071,1866.522,923.393,447.065,32.068303151424814,39.17108127489086,19.378449464654206,9.382166109030102,4765.051,4765.0509999999995,9.094947017729282e-13
1999Q3,1523.708,1879.208,952.706,456.904,31.661293881840848,39.04826696001227,19.796381359809796,9.49405779833709,4812.526,4812.526,0.0
1999Q4,1484.145,1876.49,927.34,453.96,31.298299112071337,39.572242133221984,19.556151655389623,9.573307099317049,4741.935,4741.935,0.0
2000Q1,1438.052,1884.11,947.173,412.575,30.715071413162576,40.242336994944374,20.230482858491513,8.812108733401539,4681.91,4681.91,0.0
2000Q2,1409.327,1852.366,946.08,411.513,30.509628544324812,40.10069954534099,20.48108733687414,8.908584573460052,4619.286,4619.286,0.0
2000Q3,1393.99,1819.345,943.333,429.164,30.397755521789723,39.67317162948839,20.5705965678638,9.358476280858085,4585.832,4585.831999999999,9.094947017729282e-13
2000Q4,1404.443,1800.49,943.516,406.407,30.833971480108264,39.52902133459323,20.71450776929062,8.922499416007883,4554.856,4554.856,0.0
2001Q1,1377.014,1763.755,953.912,396.952,30.657313275594866,39.26756705189405,21.23753209578788,8.83758757672321,4491.633,4491.633,0.0
2001Q2,1396.689,1758.03,952.347,371.029,31.189356188289885,39.25843466920643,21.266788667949204,8.285420474554469,4478.095,4478.094999999999,9.094947017729282e-13
2001Q3,1377.333,1783.429,925.39,367.791,30.92390270822954,40.04157664343706,20.77687119031384,8.257649458019557,4453.943,4453.943,0.0
2001Q4,1371.685,1783.301,927.833,367.088,30.82502623088527,40.07501729811432,20.85061552971781,8.249340941282593,4449.907,4449.907,0.0
2002Q1,1324.728,1779.965,911.365,376.504,30.158436010692625,40.52225102343461,20.74791431515366,8.571398650719104,4392.562,4392.562,0.0
2002Q2,1291.713,1763.696,892.322,351.061,30.04827867921965,41.02771197117701,20.75750582954467,8.166503520058658,4298.792,4298.7919999999995,9.094947017729282e-13
2002Q3,1266.921,1768.08,912.186,381.871,29.265512266178924,40.84214163912795,21.071235358824023,8.821110735869096,4329.058,4329.058,0.0
2002Q4,1244.465,1755.27,957.469,398.893,28.568349143740374,40.29455726077725,21.97997427513667,9.157119320345714,4356.097,4356.097,0.0
