,Workforce jobs by industry  (thousand),low level aggregate,growth q on q,"Output per job: Manufacturing C SIC07, 2023=100, SA, UK","Output per hour: Manufacturing C SIC07, 2023=100, SA, UK","Productivity jobs: Manufacturing C SIC07, 2023=100, SA, UK",UKManufTO: 10-33 - UK Manufacturing TOTAL (£m),,,,Date,"Spot exchange rate, US $ into Sterling              [a] [a] [a]             XUDLUSS",Date,"Spot exchange rate, Euro into Sterling              [a] [a] [a]             XUDLERS",,year,month,UK_EPolicyUncertianty_Index
1997 Q1,"4,249",35959,1.2,34.5,34.9,168.6,,,,,20 Jan 26,1.3457,20 Jan 26,1.1475,,1998,1,114
1997 Q2,"4,280",35717,1.4,35,34,168.4,,,,,19 Jan 26,1.3422,19 Jan 26,1.1531,,1998,2,71
1997 Q3,"4,284",35745,0.9,35.4,34.7,167.8,,,,,16 Jan 26,1.3378,16 Jan 26,1.1539,,1998,3,148
1997 Q4,"4,309",36164,2.2,36.2,36.6,167.7,,,,,15 Jan 26,1.3387,15 Jan 26,1.1538,,1998,4,147
1998 Q1,"4,303",36418,1.4,36.8,35.7,167.3,90525,,,,14 Jan 26,1.3457,14 Jan 26,1.1541,,1998,5,112
1998 Q2,"4,295",36403,1,37.3,36.4,167,89591,,,,13 Jan 26,1.3442,13 Jan 26,1.1536,,1998,6,85
1998 Q3,"4,303",36242,0.4,37.4,36.6,167.2,87665.4,,,,12 Jan 26,1.3475,12 Jan 26,1.1535,,1998,7,181
1998 Q4,"4,238",35818,0.6,38,38.3,165.3,91166.3,,,,09 Jan 26,1.3419,09 Jan 26,1.1527,,1998,8,141
1999 Q1,5005.339,36028,1.9,39.3,38.9,163,89053,,,,08 Jan 26,1.3442,08 Jan 26,1.1521,,1998,9,194
1999 Q2,4765.051,35965,0.8,40.1,39.9,161,88023,,,,07 Jan 26,1.3481,07 Jan 26,1.1532,,1998,10,256
1999 Q3,4812.526,36479,1.9,41.3,40.9,159.5,88153.8,,,,06 Jan 26,1.3507,06 Jan 26,1.1549,,1998,11,173
1999 Q4,4741.935,36426,0.8,41.8,41.7,158.6,93386,,,,05 Jan 26,1.3503,05 Jan 26,1.1537,,1998,12,124
2000 Q1,4681.91,36447,1.5,42.7,42.6,157.5,91233,,,,02 Jan 26,1.3497,02 Jan 26,1.1486,,1999,1,100
2000 Q2,4619.286,36762,1.4,43.8,43.3,155.7,90427.5,,,,31 Dec 25,1.3451,31 Dec 25,1.1454,,1999,2,89
2000 Q3,4585.832,36661,0.6,44.7,44.4,153.8,88260.3,,,,30 Dec 25,1.3473,30 Dec 25,1.1457,,1999,3,85
2000 Q4,4554.856,36983,1.8,46.2,46,151.3,94208.9,,,,29 Dec 25,1.35,29 Dec 25,1.1472,,1999,4,64
2001 Q1,4491.633,36526,1.2,47.3,46.9,149.7,91387.6,,,,24 Dec 25,1.3507,24 Dec 25,1.1468,,1999,5,72
2001 Q2,4478.095,36162,0.5,47.9,47.3,148.5,88033.5,,,,23 Dec 25,1.3484,23 Dec 25,1.1451,,1999,6,52
2001 Q3,4453.943,35857,0.5,49.2,48.5,145.2,85394.2,,,,22 Dec 25,1.3454,22 Dec 25,1.1437,,1999,7,81
2001 Q4,4449.907,35310,-0.7,49.3,48.8,144,88839.6,,,,19 Dec 25,1.3362,19 Dec 25,1.1411,,1999,8,73
2002 Q1,4392.562,35453,1,50.5,50.4,141.9,85176.3,,,,18 Dec 25,1.3395,18 Dec 25,1.1422,,1999,9,67
2002 Q2,4298.792,34851,-0.7,50.6,50.9,140.7,84790.7,,,,17 Dec 25,1.34,17 Dec 25,1.1401,,1999,10,123
2002 Q3,4329.058,37175,7,55.1,54.7,138.2,85949.7,,,,16 Dec 25,1.3417,16 Dec 25,1.1399,,1999,11,27
2002 Q4,4356.097,36656,-0.4,55.3,54.6,137.1,87894.6,,,,15 Dec 25,1.3394,15 Dec 25,1.1387,,1999,12,49
2003 Q1,4196.089,36738,0.4,56.5,57.3,134.8,85392.7,,,,12 Dec 25,1.3355,12 Dec 25,1.1377,,2000,1,54
2003 Q2,4140.688,36280,-0.3,57.2,57.5,132.7,85630.8,,,,11 Dec 25,1.3435,11 Dec 25,1.1428,,2000,2,58
2003 Q3,4061.207,36258,1.1,58.8,58.9,130.4,85056,,,,10 Dec 25,1.3321,10 Dec 25,1.1442,,2000,3,62
2003 Q4,3979.79,36519,1.6,60.4,59.6,129.1,90073.9,,,,09 Dec 25,1.3297,09 Dec 25,1.1434,,2000,4,114
2004 Q1,3898.554,36321,1.3,61.6,62.5,128.2,89301.4,,,,08 Dec 25,1.3312,08 Dec 25,1.1452,,2000,5,46
