sex.label,classif2.label,time,obs_value,,,,,,,,
Total,Place of birth: Total,2024,2717.095,,,,,,,,
Total,Place of birth: Native-born,2024,2163.541,,,,,,,,
Total,Place of birth: Foreign-born,2024,553.554,,,,,,,,
Male,Place of birth: Total,2024,1946.027,,,,,,,,
Male,Place of birth: Native-born,2024,1605.348,,,,,,,,
Male,Place of birth: Foreign-born,2024,340.68,,,,,,,,
Female,Place of birth: Total,2024,771.067,,,,,,,,
Female,Place of birth: Native-born,2024,558.193,,,,,,,,
Female,Place of birth: Foreign-born,2024,212.874,,,,,,,,
Total,Place of birth: Total,2023,2587.85,,,,,,,,
Total,Place of birth: Native-born,2023,2129.295,,,,,,,,
Total,Place of birth: Foreign-born,2023,458.555,,,,,,,,
Male,Place of birth: Total,2023,1900.091,,,,,,,,
Male,Place of birth: Native-born,2023,1610.31,,,,,,,,
Male,Place of birth: Foreign-born,2023,289.781,,,,,,,,
Female,Place of birth: Total,2023,687.759,,,,,,,,
Female,Place of birth: Native-born,2023,518.985,,,,,,,,
Female,Place of birth: Foreign-born,2023,168.774,,,,,,,,
Total,Place of birth: Total,2022,2709.226,,,,,,,,
Total,Place of birth: Native-born,2022,2214.473,,,,,,,,
Total,Place of birth: Foreign-born,2022,494.753,,,,,,,,
Male,Place of birth: Total,2022,1976.976,,,,,,,,
Male,Place of birth: Native-born,2022,1667.444,,,,,,,,
Male,Place of birth: Foreign-born,2022,309.532,,,,,,,,
Female,Place of birth: Total,2022,732.249,,,,,,,,
Female,Place of birth: Native-born,2022,547.028,,,,,,,,
Female,Place of birth: Foreign-born,2022,185.221,,,,,,,,
Total,Place of birth: Total,2021,2760.058,,,,,,,,
Total,Place of birth: Native-born,2021,2263.365,,,,,,,,
Total,Place of birth: Foreign-born,2021,496.693,,,,,,,,
Male,Place of birth: Total,2021,1989.73,,,,,,,,
Male,Place of birth: Native-born,2021,1685.329,,,,,,,,
Male,Place of birth: Foreign-born,2021,304.401,,,,,,,,
