time,emp_15_24,emp_25_34,emp_35_44,emp_45_54,emp_55_64,emp_65p,emp_total_official,emp_total_age_sum,gap_age_sum_vs_total
1993,790.206,1465.078,1219.711,1139.136,592.042,60.495,5266.668,5266.668,0.0
1994,698.36,1389.788,1125.107,1059.749,554.522,48.959,4876.486,4876.485,-0.0010000000002037268
1995,691.933,1407.154,1150.65,1073.538,536.409,59.14,4918.823,4918.824,0.0009999999992942321
1996,683.015,1431.848,1177.294,1152.0,555.961,52.216,5052.334,5052.334000000001,9.094947017729282e-13
1997,653.728,1434.4,1198.018,1127.739,542.798,45.164,5001.847,5001.847,0.0
1998,631.753,1415.836,1248.171,1112.557,551.718,45.305,5005.339,5005.34,0.0010000000002037268
1999,590.695,1246.773,1221.495,1062.032,598.887,45.169,4765.051,4765.0509999999995,-9.094947017729282e-13
2000,514.094,1249.712,1220.458,1033.947,557.5,43.575,4619.286,4619.286,0.0
2001,499.065,1137.725,1231.253,1007.121,549.041,53.89,4478.095,4478.095,0.0
2002,478.559,1024.072,1189.412,1001.78,557.587,47.382,4298.792,4298.7919999999995,-9.094947017729282e-13
2003,422.285,972.357,1122.361,962.033,611.972,49.68,4140.688,4140.688,0.0
2004,383.004,853.834,1105.8,885.142,545.291,56.044,3829.115,3829.115,0.0
2005,392.938,837.884,1066.003,891.223,539.968,60.576,3788.592,3788.5919999999996,-4.547473508864641e-13
2006,357.147,813.761,1046.618,896.265,570.72,67.33,3751.84,3751.8409999999994,0.0009999999992942321
2007,377.488,803.343,1030.228,882.594,579.229,67.302,3740.185,3740.1840000000007,-0.0009999999992942321
2008,349.385,773.365,936.152,865.876,556.252,61.003,3542.034,3542.0330000000004,-0.0009999999997489795
2009,226.19,595.985,764.74,717.775,445.204,61.551,2811.444,2811.445,0.0010000000002037268
2010,238.537,611.675,742.379,740.814,465.313,71.439,2870.155,2870.1569999999997,0.001999999999497959
2011,257.508,588.645,730.465,767.812,457.442,61.347,2863.218,2863.219,0.0010000000002037268
2012,238.908,591.63,713.165,830.582,451.948,77.566,2903.798,2903.7989999999995,0.0009999999997489795
2013,259.131,600.278,689.089,808.451,452.668,75.875,2885.491,2885.492,0.0010000000002037268
2014,201.288,490.752,537.547,613.212,354.391,63.28,2260.47,2260.4700000000003,4.547473508864641e-13
2015,274.354,655.518,669.364,795.198,502.868,97.695,2994.998,2994.9970000000003,-0.0009999999997489795
2016,265.493,676.348,640.684,790.79,497.291,96.049,2966.654,2966.6549999999997,0.0009999999997489795
2017,255.97,666.174,665.47,757.102,493.871,85.213,2923.8,2923.8,0.0
2018,248.933,657.492,629.705,746.893,515.151,95.393,2893.566,2893.567,0.0010000000002037268
2019,247.379,676.114,634.395,711.871,540.149,100.165,2910.074,2910.073,-0.0010000000002037268
2020,244.947,626.137,657.642,685.124,512.633,99.307,2825.79,2825.79,0.0
2021,217.634,623.298,605.855,693.531,517.259,102.481,2760.058,2760.058,0.0
2022,245.221,615.696,562.636,705.512,491.746,88.415,2709.226,2709.2259999999997,-4.547473508864641e-13
2023,205.771,553.556,608.185,638.64,495.907,85.791,2587.85,2587.8500000000004,4.547473508864641e-13
2024,218.871,583.056,649.016,618.586,538.53,109.034,2717.095,2717.0930000000003,-0.001999999999497959
