time,Less_than_basic,Basic,Intermediate,Advanced,Not_stated,Total,Total_calc,Total_gap_calc_minus_official
1993,,2436.201,1878.144,850.134,102.189,5266.668,5266.668,9.09E-13
1994,,2251.868,1826.153,793.357,5.107,4876.486,4876.485,-0.001
1995,,2209.012,1841.846,857.565,10.399,4918.823,4918.822,-0.001
1996,,2288.071,1847.017,899.418,17.828,5052.334,5052.334,0
1997,,2183.334,1904,911.293,3.22,5001.847,5001.847,0
1999,,1528.071,1866.522,923.393,447.065,4765.051,4765.051,-9.09E-13
2000,,1409.327,1852.366,946.08,411.513,4619.286,4619.286,0
2001,,1396.689,1758.03,952.347,371.029,4478.095,4478.095,-9.09E-13
2002,,1291.713,1763.696,892.322,351.061,4298.792,4298.792,-9.09E-13
2003,,1166.781,1659.757,949.895,364.255,4140.688,4140.688,0
2004,,1091.12,1821.913,893.516,22.566,3829.115,3829.115,0
2005,91.628,141.283,259.684,113.135,3182.863,3788.592,3788.593,0.001
2006,31.094,1138.152,1452.914,692.456,437.224,3751.84,3751.84,0
2007,35.569,1126.148,1395.098,741.119,442.252,3740.185,3740.186,0.001
2008,385.777,736.2,1354.495,701.481,364.08,3542.034,3542.033,-0.001
2009,286.804,617.904,1115.331,498.842,292.563,2811.444,2811.444,0
2010,258.486,598.142,1141.85,557.501,314.177,2870.155,2870.156,0.001
2011,253.886,596.387,1179.327,586.308,247.311,2863.218,2863.219,0.001
2012,233.547,596.466,1202.143,622.037,249.604,2903.798,2903.797,-0.001
2013,233.904,577.196,1211.647,614.57,248.175,2885.491,2885.492,0.001
2014,171.333,448.081,917.018,517.75,206.287,2260.47,2260.469,-0.001
2015,217.256,577.872,1201.239,691.386,307.244,2994.998,2994.997,-0.001
2016,209.401,568.39,1172.144,695.324,321.396,2966.654,2966.655,0.001
2017,197.489,562.101,1160.042,687.088,317.08,2923.8,2923.8,0
2018,184.225,582.596,1103.036,727.242,296.467,2893.566,2893.566,4.55E-13
2019,184.96,548.214,1125.908,744.59,306.401,2910.074,2910.073,-0.001
2020,164.702,502.587,1082.405,807.408,268.688,2825.79,2825.79,0
2021,163.538,520.464,986.264,835.049,254.743,2760.058,2760.058,0
2022,9.431,498.984,1074.189,953.699,172.923,2709.226,2709.226,-4.55E-13
2023,6.536,472.805,1043.256,1008.417,56.836,2587.85,2587.85,0
2024,3.89,513.48,1036.754,1088.412,74.56,2717.095,2717.096,0.001
