Year,Sex,Less than basic,,Basic and below basic, Intermediate,Advanced, Level not stated,15-24, 25-54,55-64, 65+,Place of birth: Foreign-born,Place of birth: Native-born,Place of birth: Status unknown,total for education levels,total for age ,total for place of born
2024,Male,3.1,375.3,378.4,790.1,731.3,46.3,174.7,1312.2,383.8,75.3,340.7,1605.3,,1946.1,1946,1946
2024,Female,,138.2,138.2,246.7,357.1,28.3,44.2,538.4,154.7,33.7,212.9,558.2,,770.3,771,771.1
2023,Male,3,361.3,364.3,789.5,710.3,35.9,164.6,1307.7,358.5,69.3,289.8,1610.3,,1900,1900.1,1900.1
2023,Female,3.5,111.5,115,253.7,298.1,20.9,41.1,492.7,137.4,16.5,168.8,519,,687.7,687.7,687.8
2022,Male,7.1,375.8,382.9,808.2,671.8,114.2,179.5,1355.9,372,69.6,309.5,1667.4,,1977.1,1977,1976.9
2022,Female,2.3,123.2,125.5,266,281.9,58.7,65.8,527.9,119.7,18.8,185.2,547,,732.1,732.2,732.2
2021,Male,116.5,366,482.5,772.1,549.3,185.9,154.6,1374.1,384.3,76.6,304.4,1685.3,,1989.8,1989.6,1989.7
2021,Female,47.1,154.5,201.6,214.2,285.7,68.9,63,548.5,132.9,25.9,192.3,578,,770.4,770.3,770.3
2020,Male,121.4,353.3,474.7,875.2,543.5,197,185.2,1446.9,386.9,71.4,302.4,1787.8,,2090.4,2090.4,2090.2
2020,Female,43.3,149.3,192.6,207.2,263.9,71.7,59.7,522,125.7,27.9,153.2,582.1,,735.4,735.3,735.3
2019,Male,137.7,387.8,525.5,936.7,481.6,214.9,185.7,1468.6,425.4,78.8,329.7,1828.8,,2158.7,2158.5,2158.5
2019,Female,47.3,160.4,207.7,189.2,263,91.5,61.6,553.7,114.7,21.4,189.9,561.6,,751.4,751.4,751.5
2018,Male,134.6,429,563.6,913.9,479.2,214.3,195.1,1490.5,410.3,75.1,328,1842.8,,2171,2171,2170.8
2018,Female,49.6,153.6,203.2,189.1,248.1,82.1,53.9,543.6,104.8,20.3,178.4,544.2,,722.5,722.6,722.6
2017,Male,136.1,400.2,536.3,957.8,465,230.5,194.9,1543.4,384.5,66.7,360.5,1849.4,,2189.6,2189.5,2209.9
2017,Female,61.4,161.9,223.3,202.2,222.1,86.6,61,545.3,109.4,18.5,198.2,569.8,,734.2,734.2,768
2016,Male,152.4,412.8,565.2,969.7,469.1,229.5,200.5,1570.8,386.5,75.8,328.5,1860,,2233.5,2233.6,2188.5
2016,Female,57,155.6,212.6,202.5,226.2,91.9,65,537,110.8,20.2,204.7,541.7,,733.2,733,746.4
2015,Male,150.5,419.3,569.8,996.7,464.4,227.2,209.7,1580.5,393,74.8,325.5,1879.6,,2258.1,2258,2205.1
2015,Female,66.8,158.6,225.4,204.5,227,80.1,64.6,539.6,109.8,22.9,172,576.1,,737,736.9,748.1
2014,Male,123.2,316.4,439.6,752.7,343.3,155.1,157,1204.4,279.8,49.5,320.2,1935.2,,1690.7,1690.7,2255.4
2014,Female,48.1,131.7,179.8,164.4,174.4,51.2,44.2,437.1,74.6,13.8,162.3,563.5,,569.8,569.7,725.8
2013,Male,168.7,408,576.7,993.5,426,191.4,192.4,1570.9,367,57.4,284.2,1944.2,,2187.6,2187.7,2228.4
2013,Female,65.2,169.2,234.4,218.2,188.5,56.7,66.7,527,85.7,18.5,151.3,548.4,,697.8,697.9,699.7
2012,Male,163.7,423.7,587.4,984.7,432.5,188.7,176.9,1602.5,353.3,60.6,271.4,1931.2,,2193.3,2193.3,2202.6
2012,Female,69.8,172.7,242.5,217.5,189.6,60.9,62,532.9,98.6,17,133.1,582.9,,710.5,710.5,716
2011,Male,174.2,426.7,600.9,989.4,407.3,180.3,192.9,1576.7,359.9,48.5,265.4,1896,,2177.9,2178,2161.4
2011,Female,79.7,169.7,249.4,189.9,179,67,64.6,510.2,97.6,12.9,141.6,523.7,,685.3,685.3,665.3
2010,Male,184.1,412,596.1,970.7,394.7,235.6,177.8,1593,371.8,54.4,282.7,1940.3,,2197.1,2197,2223
