order,seasonal_order,trend,use_logit,wKL,wMAE,KL_h1,MAE_h1,N_h1,KL_h4,MAE_h4,N_h4,KL_h8,MAE_h8,N_h8,KL_h12,MAE_h12,N_h12,KL_h16,MAE_h16,N_h16
"(1, 1, 1)","(0, 0, 0, 0)",n,True,0.00046257591956511856,0.01024686854571523,0.00018607412252434085,0.007092061358244722,20,0.0004862109381786009,0.01020206074962459,17,0.00045391819378370175,0.010111330865011054,13,0.0006044204426066093,0.012000977156720018,9,0.0014072893783426948,0.021896855638935175,5
"(0, 1, 1)","(0, 0, 0, 0)",n,True,0.00046490191071685733,0.010395583210840673,0.00018487477855231644,0.007148913875512103,20,0.0005069593393819911,0.0103870125142118,17,0.00047475125874375655,0.010545940602081761,13,0.0006150778107159136,0.012461845996398288,9,0.001308703929292348,0.021151257323429283,5
"(0, 1, 0)","(0, 0, 0, 0)",n,True,0.00047827064461182983,0.010728992236396466,0.00018850276369379782,0.007309991470355631,20,0.0005340139499261379,0.010921490252467985,17,0.0004929368097964994,0.010823376139448521,13,0.0006628273837164445,0.01345320201274294,9,0.0012583067729024107,0.020763289865451773,5
"(0, 1, 1)","(0, 0, 1, 4)",n,True,0.00048376705911838344,0.010744388663857584,0.00019246762360322953,0.007317941264954842,20,0.000539545219725422,0.010939808399293635,17,0.0005015829370472852,0.011143160334438535,13,0.0006362827144776603,0.012900453075575437,9,0.0013105821597390165,0.02089338356679027,5
"(1, 1, 0)","(0, 0, 1, 4)",n,True,0.0004910427867427439,0.01086247109450992,0.00018980399327357884,0.0072425245025075635,20,0.0005576225218006978,0.011223437401102118,17,0.0005126117700638672,0.011265302542259078,13,0.0006652914471089118,0.013423008858984608,9,0.0012856053872621754,0.02072383246033469,5
"(1, 1, 0)","(1, 0, 0, 4)",n,True,0.0004928362232640782,0.010925141396968041,0.00019000958898452458,0.007241291210333156,20,0.0005648676341116927,0.011313349803473382,17,0.0005216283750704008,0.011489616606503494,13,0.0006783715299778825,0.013678811407085885,9,0.0012423212497518169,0.020287141654151086,5
"(1, 1, 1)","(1, 0, 0, 4)",n,True,0.000492871108847301,0.010702402408158765,0.00019249470703909543,0.007211646316405057,20,0.0005130697065108977,0.010704099013007147,17,0.00048698109100267023,0.01083108405231364,13,0.0006297818451414563,0.012548868212431138,9,0.0015532561892298053,0.02287775560263432,5
"(1, 1, 1)","(0, 0, 1, 4)",n,True,0.0004932920330117465,0.010636834737576541,0.00019289795949345068,0.007256087127844807,20,0.0005116853539510205,0.010661598820868897,17,0.0004849454829287686,0.010588649123961846,13,0.000635872777160572,0.012333211195329806,9,0.0015570322357032662,0.022926117117271085,5
"(0, 1, 0)","(0, 0, 1, 4)",n,True,0.0004996087779092501,0.01110146136759035,0.00019132071273437998,0.007436208426795427,20,0.0005728297724155551,0.011503600040562638,17,0.000524209425605661,0.011486679716637757,13,0.0006957143241577416,0.01402659003884632,9,0.001263893516603339,0.020529520751027274,5
"(0, 1, 1)","(0, 0, 1, 4)",c,True,0.0005308992672552229,0.011201216817894833,0.0001942008431342239,0.007330646981929412,20,0.000562390358743188,0.011182030612006804,17,0.000545711182091487,0.01168608761324665,13,0.0007247107635657841,0.013703642279377851,9,0.001577798180328201,0.02322910156303957,5
"(1, 1, 0)","(1, 0, 0, 4)",c,True,0.000536009887168307,0.011359331358436102,0.0001916226761419382,0.0072816439417196345,20,0.0005863854857359067,0.011542792570941223,17,0.0005633014003425491,0.011984355453891076,13,0.0007681864569572855,0.01453637500018813,9,0.0014687865522658473,0.022297771816226674,5
"(1, 1, 0)","(0, 0, 1, 4)",c,True,0.0005396550075453063,0.011338427824635273,0.00019143859157527365,0.00728042537261534,20,0.0005813957330432997,0.011472973035016062,17,0.0005587886115077661,0.011805241807242782,13,0.000760403582101744,0.014298482329305936,9,0.0015537051884921631,0.023064618056257747,5
"(0, 1, 0)","(0, 0, 0, 0)",c,True,0.0005432059452633981,0.01132960163715355,0.00019097935344367843,0.007336661007267392,20,0.000565419712611627,0.011236154299698695,17,0.0005532965773128301,0.011487876184858026,13,0.000789797478485219,0.01452587386868699,9,0.001619665381555145,0.023900645105890562,5
"(0, 1, 0)","(1, 0, 0, 4)",c,True,0.0005472666434273569,0.011594769595683521,0.0001928709253783308,0.007416616958759959,20,0.0006039145872713942,0.011833933009749291,17,0.0005790501745802772,0.01223696588607811,13,0.0008083805801886245,0.015231584833796448,9,0.0014495933523550279,0.022066088130112727,5
"(0, 1, 0)","(0, 0, 1, 4)",c,True,0.0005488244589297864,0.011579231513662021,0.0001931561156016517,0.007465876193405585,20,0.0005969581255412338,0.011755010514012555,17,0.0005714157725931441,0.012028746839985645,13,0.000795391904971741,0.014970241856067608,9,0.0015281262996082764,0.022815547834271088,5
