Year,Female_Place_of_birth_Foreign_born,Female_Place_of_birth_Native_born,Female_Place_of_birth_Status_unknown,Male_Place_of_birth_Foreign_born,Male_Place_of_birth_Native_born,Male_Place_of_birth_Status_unknown
1995,0.03924936504298892,0.24114683834996112,5.2677454393824844e-05,0.10070257530493294,0.6187133886595525,0.0001351551881707167
1996,0.0384152466944754,0.23602204200399696,5.155796542337278e-05,0.10153669365344643,0.6238381850055167,0.00013627467714116877
1997,0.03800286404505328,0.2334883762494145,5.1004497407165486e-05,0.1019490763028686,0.626371850760099,0.00013682814515737605
1998,0.03737513409047754,0.2296316235677416,5.0162006935852546e-05,0.10257680625744432,0.630228603441772,0.00013767063562868898
1999,0.03820181922951082,0.2347107505133732,5.127151962890584e-05,0.10175012111841103,0.6251494764961405,0.00013656112293563568
2000,0.037312639808288584,0.229247660704946,5.0078131956059175e-05,0.10263930053963327,0.6306125663045675,0.00013775451060848233
2001,0.03662483617912277,0.22502181729582846,4.9155015256779956e-05,0.10332710416879907,0.6348384097136852,0.0001386776273077616
2002,0.03638379318728918,0.22354085689498063,4.883150604343707e-05,0.1035681471606327,0.636319370114533,0.00013900113652110449
2003,0.035756933220805344,0.2196894493922052,4.799018320268284e-05,0.10419500712711652,0.6401707776173083,0.00013984245936185868
2004,0.03520911573182376,0.2163236763327931,4.725494504633662e-05,0.1047428246160981,0.6435365506767206,0.00014057769751820492
2005,0.035215167801740464,0.21636086005600205,4.726306766530578e-05,0.1047367725461814,0.6434993669535115,0.00014056957489923575
2006,0.03546080829883373,0.21787006738151862,4.759274729372103e-05,0.10449113204908815,0.6419901596279949,0.00014023989527082054
2007,0.036033826681741286,0.22139067392389755,4.836180813583592e-05,0.10391811366618059,0.638469553085616,0.00013947083442870565
2008,0.03650026890641434,0.22425647997272488,4.898783072220533e-05,0.10345167144150752,0.6356037470367887,0.0001388448118423362
2009,0.034228837654987215,0.21030087930986038,4.593929182164713e-05,0.10572310269293467,0.6495593476996533,0.0001418933507428944
2010,0.03281799855545346,0.2016327291907327,4.404577297767821e-05,0.10713394179246842,0.658227497818781,0.00014378686958686337
2011,0.033495988796294784,0.20579827945713677,4.4955718908071215e-05,0.10645595155162708,0.6540619475523768,0.0001428769236564703
2012,0.0342433547824225,0.21039007207461236,4.595877558444339e-05,0.10570858556549935,0.6494701549349012,0.00014187386698009813
2013,0.033848232315225484,0.20796245232531865,4.542847284647682e-05,0.10610370803269636,0.651897774684195,0.00014240416971806472
2014,0.03527279261025088,0.21671490502889754,4.734040721510322e-05,0.10467914773767098,0.643145321980616,0.0001404922353494383
2015,0.03443540179718309,0.21157000276580543,4.62165261964709e-05,0.10551653855073877,0.6482902242437081,0.00014161611636807065
2016,0.0345799137986337,0.21245787986178571,4.6410478999463674e-05,0.10537202654928815,0.6474023471477278,0.00014142216356507784
2017,0.03514475308802004,0.2159282343162379,4.716856249645531e-05,0.1048071872599018,0.6439319926932757,0.0001406640800680862
2018,0.03494929226410297,0.21472732929122013,4.690623013448221e-05,0.10500264808381887,0.6451328977182934,0.0001409264124300593
2019,0.0361386604273097,0.22203476908998543,4.850250786040639e-05,0.10381327992061218,0.6378254579195283,0.00013933013470413517
2020,0.036418112941156856,0.22375171636058155,4.8877567355949805e-05,0.10353382740676502,0.6361085106489321,0.00013895507520859176
