Year,Female_Advanced,Female_Basic_and_below_basic,Female_Intermediate,Female_Level_not_stated,Male_Advanced,Male_Basic_and_below_basic,Male_Intermediate,Male_Level_not_stated
1995,0.06725888558567837,0.08493879804592504,0.09792136695333747,0.030329830262402987,0.17256694428557454,0.21792851163736654,0.25123804725961785,0.07781761597009725
1996,0.0658295154415719,0.08313369852716362,0.09584036490915553,0.029685267786004665,0.17399631442968108,0.2197336111561279,0.2533190493037998,0.0784621784464956
1997,0.06512284420231432,0.08224126914547694,0.09481153112560196,0.029366600318481716,0.1747029856689386,0.22062604053781457,0.2543478830873533,0.07878084591401853
1998,0.06404714738155633,0.08088281079129242,0.09324543763180176,0.028881523860504483,0.17577868248969658,0.22198449889199912,0.2559139765811535,0.07926592237199576
1999,0.06546377975562713,0.08267182424399433,0.09530789491653713,0.029520342346354346,0.17436205011562583,0.22019548543929726,0.2538515192964182,0.07862710388614592
2000,0.06394005531087182,0.08074756811391257,0.09308952363084896,0.028833231589557286,0.17588577456038113,0.22211974156937897,0.25606989058210633,0.07931421464294296
2001,0.0627614144449926,0.07925910547282318,0.09137355519442675,0.028301733377965446,0.17706441542626034,0.22360820421046837,0.2577858590185286,0.07984571285453479
2002,0.06234835596643611,0.07873746895765114,0.09077218854227796,0.028115468121947994,0.17747747390481683,0.2241298407256404,0.25838722567067735,0.08003197811055227
2003,0.061274149983287104,0.07738089332800906,0.08920826554023223,0.02763106394468484,0.17855167988796583,0.22548641635528247,0.25995114867272306,0.08051638228781541
2004,0.060335393553141305,0.07619537200781269,0.08784154184156175,0.027207739607147435,0.17949043631811162,0.2266719376754788,0.26131787237139353,0.08093970662535281
2005,0.060345764561121625,0.07620846917623444,0.08785664086185141,0.027212416326200303,0.1794800653101313,0.22665884050705712,0.26130277335110386,0.08093502990629994
2006,0.0607667014621673,0.07674005506435401,0.0884694776103727,0.027402234290752118,0.17905912840908567,0.22612725461893757,0.2606899366025826,0.08074521194174814
2007,0.06174864289771044,0.07798011315571621,0.0898990738161264,0.02784503254422163,0.1780771869735425,0.22488719652757533,0.2592603403968289,0.08030241368827862
2008,0.06254795224162601,0.07898953182728459,0.09106277825299347,0.02820547438795735,0.1772778776296269,0.22387777785600693,0.2580966359599618,0.0799419718445429
2009,0.058655559728061996,0.0740739710244829,0.08539589286932775,0.026450232634796598,0.18117027014319095,0.22879333865880866,0.26376352134362757,0.08169721359770366
2010,0.05623790365970497,0.07102080119054191,0.08187605775795087,0.025360010910966093,0.18358792621154796,0.23184650849274963,0.2672833564550044,0.08278743532153415
2011,0.05739972800990803,0.07248802686618926,0.08356754324036542,0.025883925855876934,0.18242610186134495,0.2303792828171023,0.2655918709725899,0.08226352037662332
2012,0.05868043671173123,0.07410538726151202,0.08543211095747112,0.026461450701904886,0.1811453931595217,0.2287619224217795,0.26372730325548416,0.08168599553059536
2013,0.05800334303685452,0.07325031030911047,0.08444633877849371,0.026156120988931914,0.18182248683439842,0.2296169993741811,0.2647130754344616,0.08199132524356834
