Year,Female,Male
1995,0.2804488808473439,0.7195511191526561
1996,0.2744888466638957,0.7255111533361043
1997,0.27154224479187494,0.7284577552081251
1998,0.267056919665155,0.732943080334845
1999,0.27296384126251294,0.7270361587374871
2000,0.26661037864519066,0.7333896213548093
2001,0.261695808490208,0.738304191509792
2002,0.25997348158831324,0.7400265184116868
2003,0.25549437279621323,0.7445056272037868
2004,0.2515800470096632,0.7484199529903368
2005,0.2516232909254078,0.7483767090745922
2006,0.2533784684276461,0.7466215315723539
2007,0.25747286241377465,0.7425271375862253
2008,0.2608057367098614,0.7391942632901386
2009,0.24457565625666922,0.7554243437433308
2010,0.2344947735191638,0.7655052264808362
2011,0.23933922397233964,0.7606607760276604
2012,0.24467938563261926,0.7553206143673807
2013,0.24185611311339061,0.7581438868866094
2014,0.2520350380463635,0.7479649619536365
2015,0.246051621089185,0.753948378910815
2016,0.2470842041394189,0.7529157958605811
2017,0.2511201559667544,0.7488798440332456
2018,0.2497235277854576,0.7502764722145424
2019,0.25822193202515553,0.7417780679748445
2020,0.2602187068690943,0.7397812931309057
2021,0.27910431537374536,0.7208956846262546
2022,0.2702642846596781,0.7297357153403219
2023,0.26574696653528107,0.7342530334647189
2024,0.28376886271623114,0.7162311372837689
2025,0.2822444886334866,0.7177555113665134
2026,0.28267590798371844,0.7173240920162816
2027,0.28291163128038765,0.7170883687196123
2028,0.2831669358604042,0.7168330641395958
2029,0.28342028114358997,0.71657971885641
2030,0.28367382247337813,0.7163261775266219
2031,0.2839273441868072,0.7160726558131928
2032,0.28418086786304275,0.7158191321369572
2033,0.2844343913428805,0.7155656086571195
2034,0.28468791484236977,0.7153120851576302
2035,0.2849414383398927,0.7150585616601073
2036,0.2851949618376124,0.7148050381623876
2037,0.2854484853353124,0.7145515146646876
2038,0.28570200883301444,0.7142979911669856
2039,0.28595553233071624,0.7140444676692838
2040,0.28620905582841805,0.713790944171582
2041,0.28646257932611985,0.7135374206738802
2042,0.28671610282382165,0.7132838971761783
2043,0.28696962632152345,0.7130303736784765
2044,0.28722314981922525,0.7127768501807747
2045,0.28747667331692706,0.7125233266830729
2046,0.28773019681462886,0.7122698031853711
2047,0.28798372031233066,0.7120162796876693
2048,0.28823724381003246,0.7117627561899675
2049,0.28849076730773426,0.7115092326922657
2050,0.28874429080543607,0.7112557091945639
